,Unnamed: 0,num_nodes,num_edges,time,Degree mean,Degree std,Top10Degree mean,Top10Degree std,Top10 Degree mean ratio,DCmean,DCstd,clustermean,clusterstd,modularity,transitivity,eig_mean,eig_std,closenessmean,closenessstd,Components_cnt,giant_com_ratio,token,core_cnt,core_ratio,avg_core_neighbor
54,54,1236,1586,2021/07/13,2.566343042,8.405105441,75,50.64253811,29.22446406,0.002078011,0.006805753,0.011974406,0.102993654,0.730234524,0.002472563,0.010822096,0.026315471,0.174682194,0.066918018,57,0.890776699,AAVE,10,0.008090615,75
55,55,1242,1541,2021/08/13,2.481481481,9.098975603,72.5,67.9513715,29.21641791,0.001999582,0.007331971,0.020474762,0.132158159,0.738828499,0.002963377,0.010923503,0.026198907,0.165505927,0.067837653,67,0.877616747,AAVE,15,0.012077295,60.66666667
56,56,1044,1267,2021/09/13,2.427203065,7.379031955,56.7,45.11725464,23.36022099,0.002327136,0.007074815,0.015472104,0.11385511,0.752888732,0.002483361,0.011632842,0.028693553,0.152346352,0.069790155,65,0.844827586,AAVE,18,0.017241379,45.11111111
57,57,791,951,2021/10/13,2.404551201,6.418381792,45,33.45976024,18.71451104,0.003043736,0.008124534,0.022097804,0.133296703,0.742750727,0.005792821,0.013318901,0.032987954,0.141601385,0.072629322,63,0.806573957,AAVE,14,0.017699115,38.64285714
58,58,750,850,2021/11/13,2.266666667,6.657626269,43.2,38.68620196,19.05882353,0.003026257,0.008888687,0.012051345,0.105819033,0.769598616,0.001358542,0.014121618,0.0336961,0.148109555,0.069137559,52,0.846666667,AAVE,10,0.013333333,43.2
59,59,841,961,2021/12/13,2.285374554,6.715964465,50.6,34.44222215,22.14079084,0.002720684,0.007995196,0.003580317,0.059654881,0.799105272,0.000297339,0.009979917,0.033026639,0.113030811,0.05651512,48,0.714625446,AAVE,4,0.004756243,82.5
60,60,570,616,2022/01/14,2.161403509,5.158157816,29.1,26.61432363,13.46347403,0.0037986,0.009065304,0.007268728,0.083647906,0.808972582,0.001810501,0.015134949,0.03908964,0.123373776,0.05969024,36,0.831578947,AAVE,12,0.021052632,102
61,61,558,627,2022/02/14,2.247311828,4.433808209,30.1,14.74562082,13.3937799,0.004034671,0.007960158,0.002858284,0.044892184,0.801403611,0.001917852,0.014194513,0.039918495,0.116160638,0.065157056,44,0.768817204,AAVE,8,0.014336918,33.375
62,62,600,649,2022/03/14,2.163333333,4.261485185,30.2,13.91881221,13.95993837,0.003611575,0.007114333,0.001881151,0.021667543,0.797119428,0.002421698,0.013293288,0.038632144,0.112537126,0.061395246,55,0.785,AAVE,7,0.011666667,36
63,63,677,795,2022/04/14,2.34859675,5.515675774,37.7,25.7252578,16.05213836,0.003474256,0.008159284,0.008240424,0.086172291,0.769611962,0.00343461,0.014483886,0.035625787,0.130420192,0.06103572,42,0.844903988,AAVE,4,0.005908419,60.75
